"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"MARCH1",381.854738196826,-0.00538209816756585,0.0476684286794193,0.610296177745266,0.969270320185922
"MARCH3",30.2542990187382,-4.92663873440005e-05,0.0482360482860911,0.989837276920698,0.998027367047271
"MARCH4",275.18730120333,-0.00939512233267079,0.0486192431532623,0.395237729125538,0.926222924815591
"MARCH5",91.7117723392911,0.00128513834731532,0.0481240009965114,0.833915444726506,0.985858007379432
"MARCH6",175.201677737574,-0.00453546457707869,0.0482342739160024,0.530899009332718,0.962843297551762
"MARCH7",100.840154251433,0.00844735215080201,0.0492761822457177,0.118123155758802,0.822303864896448
"MARCH8",22.7521491271399,-0.00415896594020975,0.0484314754305911,0.448937182423668,0.950957690739557
"MARCH10",24.0636718588527,-0.00669869090511658,0.0489061564567783,0.18966253638476,0.869665399225399
"MARCH11",30.8846385099456,-0.00839681245829082,0.0493081097802176,0.0904295776006703,0.789152577488312
"SEPT2",130.198722050523,-0.00478258385243045,0.0483618827711135,0.469379497578413,0.954127310096433
"SEPT7",51.3464684902293,-0.0119450897053611,0.0503892060250132,0.0313888440965012,0.666011830444139
"SEPT9",21.490878329679,-0.00380800040558026,0.0484684703864118,0.41498842594276,0.937572672000897
"SEPT10",32.1841981655323,0.00300500302802199,0.0483942998273989,0.518761034807398,0.962843297551762
"SEPT11",82.7391074824281,-0.00775830974010336,0.0490775292124173,0.165694303347201,0.859063687639948
"SEPT14",14.6558726697995,-0.00205108714259812,0.0483512445807443,0.631959596278486,0.970987602752338
"SEPT15",60.8737843273658,0.00527592893750154,0.0485805020948201,0.344662131188259,0.910166555064619
"DEC1",51.9722887682235,0.00054331376547276,0.0482676652139659,0.907538155978521,0.989479911599757
"A2BP1",7564.1669877045,-0.00267232558550323,0.0477005133623037,0.481680972347173,0.958504147305405
"AAA1",72.1610202471962,-0.00727266549667786,0.0489978495517702,0.171517120972052,0.862153184154501
"AACS",43.6453170690445,-0.00766972102758213,0.0491021085329497,0.136684541806719,0.837138771714183
"AACSL",18.5148915920783,0.00938587440546099,0.0497023747323732,0.370254973547147,0.919294883402921
"AAGAB",33.059885512814,-0.00196747088766064,0.0482051486900384,0.730966796240946,0.980409466573549
"AAK1",237.485651924825,-0.00341139942953406,0.0482062779009168,0.589528276773797,0.965767831915209
"AARS2",70.1574778910864,-0.0116029726226661,0.0502451957402759,0.0405502279799498,0.681884028943693
"AASDH",58.8770837518594,-0.00981981589195445,0.0496700056366313,0.072329021351297,0.753243446194498
"AASDHPPT",515.340427004377,0.00252869668750255,0.0482365930030262,0.660837070943344,0.975567392400573
